"prefix","first_name","middle_name","last_name","suffix","pronouns","title","primary_specialty","classifications","taxonomy_codes","clinical_services","marital_status","telemed_exp","fluent_languages","cms_medicare_specialty_codes","work_email","personal_email","mobile_phone_number","mobile_phone_carrier_name","pager_number","fax_number","emergency_contact_name","emergency_contact_email","emergency_contact_phone","emergency_contact_relationship","social_security_number","npi_number","last_updated","enumeration_date","driver_license_or_id_number","state_issued","issue_date","expiration_date"
"","Matthew","D","Rodriguez","","","RN","Dermatology","","","","","","","","matthew.rodriguez@example.com","rodriguez.matthew@example.com","","","","","","","","","","1785659210","2025-06-28","","","","",""
"","Susan","N","Hernandez","","","NP","Pediatrics","","","","","","","","susan.hernandez@example.com","hernandez.susan@example.com","","","","","","","","","","1245640513","2025-03-27","","","","",""
"","Mary","E","Hill","","","PA","Surgery","","","","","","","","mary.hill@example.com","hill.mary@example.com","","","","","","","","","","1976343243","2025-03-27","","","","",""
"","Mark","V","Smith","","","DO","Cardiology","","","","","","","","mark.smith@example.com","smith.mark@example.com","","","","","","","","","","1158167036","2025-05-08","","","","",""
"","Donald","G","White","","","MD","Cardiology","","","","","","","","donald.white@example.com","white.donald@example.com","","","","","","","","","","1660092315","2025-06-19","","","","",""
"","Jennifer","L","Garcia","","","PA","Psychiatry","","","","","","","","jennifer.garcia@example.com","garcia.jennifer@example.com","","","","","","","","","","1565456736","2025-06-21","","","","",""
"","Mary","S","Allen","","","DO","Family Medicine","","","","","","","","mary.allen@example.com","allen.mary@example.com","","","","","","","","","","1561917129","2025-05-31","","","","",""
"","Barbara","Z","Sanchez","","","PhD","Cardiology","","","","","","","","barbara.sanchez@example.com","sanchez.barbara@example.com","","","","","","","","","","1341293185","2025-06-10","","","","",""
"","Nancy","V","Davis","","","PhD","Dermatology","","","","","","","","nancy.davis@example.com","davis.nancy@example.com","","","","","","","","","","1125086304","2025-04-24","","","","",""
"","Thomas","L","Walker","","","NP","Internal Medicine","","","","","","","","thomas.walker@example.com","walker.thomas@example.com","","","","","","","","","","1279625225","2025-03-14","","","","",""
"","Anthony","F","Torres","","","NP","Psychiatry","","","","","","","","anthony.torres@example.com","torres.anthony@example.com","","","","","","","","","","1961488893","2025-04-01","","","","",""
"","John","M","Martin","","","RN","Pediatrics","","","","","","","","john.martin@example.com","martin.john@example.com","","","","","","","","","","1467145382","2025-04-30","","","","",""
"","Mark","W","Perez","","","NP","Dermatology","","","","","","","","mark.perez@example.com","perez.mark@example.com","","","","","","","","","","1889532646","2025-04-01","","","","",""
"","Sandra","F","Thompson","","","PA","Internal Medicine","","","","","","","","sandra.thompson@example.com","thompson.sandra@example.com","","","","","","","","","","1436087661","2025-06-15","","","","",""
"","Kimberly","S","Hill","","","MD","Psychiatry","","","","","","","","kimberly.hill@example.com","hill.kimberly@example.com","","","","","","","","","","1208564741","2025-05-23","","","","",""
